Room,Cluster,Batch,Department,Exam Day,Student Name,Student ID,Faculty
Room 1,2,19,CS,Monday,John Smith,101,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,102,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,133,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,134,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,165,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,166,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,197,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,198,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,224,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,225,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,256,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,257,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,288,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,289,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,320,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,321,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,347,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,348,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,379,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,380,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,411,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,412,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,443,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,444,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,470,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,471,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,502,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,503,Samantha Allen
Room 1,2,19,CS,Monday,John Smith,534,Samantha Allen
Room 1,2,19,CS,Monday,Alice Johnson,535,Samantha Allen
Room 2,2,19,CS,Monday,John Smith,566,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,567,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,593,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,594,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,625,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,626,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,657,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,658,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,689,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,690,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,716,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,717,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,748,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,749,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,780,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,781,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,812,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,813,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,839,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,840,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,871,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,872,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,903,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,904,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,935,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,936,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,962,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,963,Alice Johnson
Room 2,2,19,CS,Monday,John Smith,994,Alice Johnson
Room 2,2,19,CS,Monday,Alice Johnson,995,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1026,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1027,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1058,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1059,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1085,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1086,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1117,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1118,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1149,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1150,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1181,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1182,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1208,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1209,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1240,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1241,Alice Johnson
Room 3,2,19,CS,Monday,John Smith,1272,Alice Johnson
Room 3,2,19,CS,Monday,Alice Johnson,1273,Alice Johnson
